example,entity,state,role,element_id,grid_id,vertex_index,x_m,y_m,z_m,classification,evidence_kind,receiving_for,selected_pair,projection_distance_m,coordinate_correction_m,ordinary_tolerance_m,snap_tolerance_m,weight_1,weight_2,weight_3,original_length_m,proposal_length_m,length_ratio,fractional_length_change,metric,value,text
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450344,225649,2,0.27651387453,0.99450290203,0.032533805817,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450344,225650,3,0.27437540888,0.99774903059,0.032496806234,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450346,225643,1,0.28140833973,0.99086833,0.032571997493,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450346,225648,2,0.27771490812,0.99126160144,0.032570660114,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450346,225640,3,0.27885600924,0.98767763376,0.032611329108,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450347,225651,1,0.27839410305,0.99715864658,0.032501898705,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450347,225659,2,0.27682846784,1.0004036426,0.032465346157,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450347,225650,3,0.27437540888,0.99774903059,0.032496806234,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450349,225648,1,0.27771490812,0.99126160144,0.032570660114,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450349,225643,2,0.28140833973,0.99086833,0.032571997493,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450349,225652,3,0.28014063835,0.99399971961,0.032537065446,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450350,225648,1,0.27771490812,0.99126160144,0.032570660114,,retained,A,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450350,225652,2,0.28014063835,0.99399971961,0.032537065446,,retained,A,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450350,225649,3,0.27651387453,0.99450290203,0.032533805817,,retained,A,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450351,225650,1,0.27437540888,0.99774903059,0.032496806234,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450351,225649,2,0.27651387453,0.99450290203,0.032533805817,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450351,225651,3,0.27839410305,0.99715864658,0.032501898705,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450352,225652,1,0.28014063835,0.99399971961,0.032537065446,,retained,B,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450352,225651,2,0.27839410305,0.99715864658,0.032501898705,,retained,B,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450352,225649,3,0.27651387453,0.99450290203,0.032533805817,,retained,B,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450353,225659,1,0.27682846784,1.0004036426,0.032465346157,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450353,225651,2,0.27839410305,0.99715864658,0.032501898705,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450353,225662,3,0.28052419424,0.99970006942,0.03247058019,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450354,225804,1,0.28429409861,0.99950426816,0.032468158751,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450354,225662,2,0.28052419424,0.99970006942,0.03247058019,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450354,225803,3,0.28227061033,0.99674415588,0.032502941787,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450665,225802,1,0.28415903449,0.99390619993,0.032533302903,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450665,225652,2,0.28014063835,0.99399971961,0.032537065446,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450665,225643,3,0.28140833973,0.99086833,0.032571997493,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450666,225651,1,0.27839410305,0.99715864658,0.032501898705,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450666,225803,2,0.28227061033,0.99674415588,0.032502941787,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450666,225662,3,0.28052419424,0.99970006942,0.03247058019,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450667,225802,1,0.28415903449,0.99390619993,0.032533302903,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450667,225803,2,0.28227061033,0.99674415588,0.032502941787,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450667,225652,3,0.28014063835,0.99399971961,0.032537065446,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450668,225652,1,0.28014063835,0.99399971961,0.032537065446,,retained,C_proposed_not_receiving,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450668,225803,2,0.28227061033,0.99674415588,0.032502941787,,retained,C_proposed_not_receiving,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450668,225651,3,0.27839410305,0.99715864658,0.032501898705,,retained,C_proposed_not_receiving,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450670,225803,1,0.28227061033,0.99674415588,0.032502941787,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450670,225806,2,0.2861919701,0.99675756692,0.032497055828,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450670,225804,3,0.28429409861,0.99950426816,0.032468158751,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
