point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
4,47.647100000000002,4.2327000000000004,119.08459000000001,0.026676024999999999,4.2157,118.60593,-0.010122310000000001
4,51.176499999999997,3.9401999999999999,119.06491,0.025608570000000001,3.9238,118.57052,-0.010542516
4,54.7059,3.6852999999999998,119.0433,0.024540711999999999,3.6696,118.53444,-0.010946469
4,58.235300000000002,3.4613,119.01976000000001,0.023472447,3.4460999999999999,118.49799,-0.011342161
4,60,3.3591000000000002,119.00726,0.022938159999999999,3.3441999999999998,118.47969999999999,-0.011538512000000001
4,61.764699999999998,3.2627999999999999,118.99428,0.022403769,3.2482000000000002,118.46138999999999,-0.011734445
4,65.2941,3.0857000000000001,118.96688,0.021334676,3.0716999999999999,118.42527,-0.012124004000000001
4,68.823499999999996,2.9266999999999999,118.93753,0.020265162999999999,2.9131999999999998,118.38857,-0.012518949
4,72.352900000000005,2.7831999999999999,118.90625,0.019195225999999999,2.7703000000000002,118.35147000000001,-0.012919752
4,75.882400000000004,2.653,118.87302,0.018124830000000001,2.6406000000000001,118.31376,-0.013328115999999999
4,79.411799999999999,2.5344000000000002,118.83784,0.017054033,2.5224000000000002,118.27526,-0.013744963000000001
4,82.941199999999995,2.4258000000000002,118.80072,0.015982798999999999,2.4142000000000001,118.23583000000001,-0.014170749999999999
4,86.470600000000005,2.3260000000000001,118.76164,0.014911126,2.3149000000000002,118.19535,-0.014605594
4,90,2.234,118.72060999999999,0.013839010000000001,2.2233999999999998,118.15372000000001,-0.015049392999999999
4,93.529399999999995,2.1488999999999998,118.67762,0.012766447,2.1387,118.11085,-0.015501956000000001
4,97.058800000000005,2.0699999999999998,118.63267,0.011693435,2.0600999999999998,118.06667,-0.015963475000000001
4,100.5882,1.9965999999999999,118.58575,0.010619971000000001,1.9871000000000001,118.02110999999999,-0.016434207999999999
4,104.1176,1.9280999999999999,118.53686,0.0095460513000000004,1.919,117.97414000000001,-0.016914220000000001
4,107.64709999999999,1.8641000000000001,118.486,0.0084716435000000007,1.8552999999999999,117.92569,-0.017403451
4,111.1765,1.8041,118.43316,0.0073968061999999998,1.7956000000000001,117.87573,-0.017901701999999999
