a_m,t1_over_a,score_before_observed,score_before_cases_8_29_feasible,score_after_observed,score_after_cases_8_29_feasible
0.019,0.30725000000000002,0.51782468298224171,0.5529656658900346,0.51547099963799525,0.54475592440284748
0.019,0.30812500000000004,0.50441029869212584,0.53863067867614245,0.50257389455659107,0.53104614142755013
0.019,0.309,0.49097879183650101,0.5242867752875231,0.48966578232347391,0.51733435767488678
0.019,0.30987500000000001,0.47753143662620745,0.50993572961426825,0.47674663437195985,0.50362083431370341
0.019,0.31075000000000003,0.46406941157264731,0.49557919642427084,0.46381632757011643,0.48990572054754417
0.019,0.31162500000000004,0.45059382574102169,0.48121873683436073,0.45087467601159187,0.47618908521761782
0.019,0.3125,0.43710574499259663,0.46685584402956093,0.43792146292017342,0.46247094872699834
0.019,0.31337500000000001,0.42360621820329508,0.45249196918688817,0.42495647265824765,0.44875131524896072
0.019,0.31425000000000003,0.4100963034427525,0.43812854755947206,0.41197952282559835,0.43503020518095192
0.019,0.31512499999999999,0.39657709409373043,0.4237670246748021,0.39899049642974205,0.4213076878025942
0.019,0.316,0.3830497448868625,0.40940888259823266,0.38598937410266065,0.40758391409181838
0.019,0.31687500000000002,0.36951549781901177,0.39505566620821297,0.37297626633018865,0.39385914964646629
0.019,0.31775000000000003,0.35597570791616606,0.38070900942443109,0.35995144565044807,0.38013380765063032
0.019,0.31862499999999999,0.34243186879237758,0.36637066132241869,0.34691537876518147,0.3664084818140087
0.019,0.31950000000000001,0.32888563794550091,0.35204251205916215,0.33386875849318765,0.35268397919935107
0.019,0.32037500000000002,0.31533886171793024,0.33772661852334457,0.32081253547781774,0.33896135283714041
0.019,0.32125000000000004,0.30179359983574577,0.3234252296105769,0.30774794954008733,0.32524193400742296
0.019,0.32212499999999999,0.28825214942289856,0.30914081100851259,0.29467656054552999,0.31152736404623244
0.019,0.32300000000000001,0.27471706836784232,0.29487606935891375,0.28160027862594744,0.29781962550803931
0.019,0.32387500000000002,0.2611911978981184,0.28063397564295411,0.26852139356630589,0.2841210724854431
0.019,0.32475000000000004,0.24767768419389669,0.26641778761269475,0.25544260313220674,0.27043445985317494
0.019,0.325625,0.23417999884401819,0.25223107106522724,0.2423670400741661,0.25676297116476421
0.019,0.32650000000000001,0.22070195791755653,0.23807771972640135,0.22929829750114139,0.24311024488683297
0.019,0.32737500000000003,0.20724773939075503,0.22396197347878422,0.21624045226783467,0.2294803986083544
0.019,0.32825000000000004,0.19382189863276561,0.209888434632926,0.20319808596753913,0.21587805080965139
0.019,0.329125,0.18042938161508426,0.19586208190319188,0.19017630306601407,0.20230833971969819
0.019,0.33000000000000002,0.1670755354686434,0.18188828170926169,0.17718074565187519,0.18877693873033291
0.019,0.33087500000000003,0.1537661159708229,0.16797279638340051,0.16421760421723952,0.17529006777421713
0.019,0.33175000000000004,0.14050729150251567,0.15412178882203487,0.1512936238196616,0.16185450001053697
0.019,0.332625,0.12730564297536578,0.14034182308088949,0.13841610491590123,0.14847756310192567
0.019,0.33350000000000002,0.11416815919295742,0.12663986037701985,0.1255928981023206,0.13516713431016492
0.019,0.33437500000000003,0.10110222708064859,0.11302324993267659,0.11283239195049954,0.12193162859208406
0.019,0.33524999999999999,0.088115616199982982,0.099499714077514345,0.10014349309460013,0.10877997884497925
0.019,0.33612500000000001,0.075216456960535139,0.086077327023111272,0.087535597716513591,0.095721607440674705
0.019,0.33700000000000002,0.062413211959618298,0.072764486741661194,0.075018553593172776,0.082766388206105823
0.019,0.33787500000000004,0.049714639924779869,0.059569879425477423,0.062602611926630358,0.069924598065249755
0.019,0.33875,0.03712975181282574,0.046502436082988374,0.050298368282147621,0.057206857663015753
0.019,0.33962500000000001,0.024667758738461221,0.033571280946256055,0.038116692121871742,0.044624060455556502
0.019,0.34050000000000002,0.012338011573311825,0.020785671532744299,0.026068644652809114,0.032187289984749012
0.019,0.34137500000000004,0.00014993227624132688,0.008154930423922846,0.014165385014283438,0.019907725363714435
0.019,0.34225,0,0,0.0024180652181853279,0.0077965353917160418
0.019,0.34312500000000001,0,0,0,0
0.019,0.34400000000000003,0,0,0,0
0.019,0.34487500000000004,0,0,0,0
0.019,0.34575,0,0,0,0
0.019,0.34662500000000002,0,0,0,0
0.019,0.34750000000000003,0,0,0,0
0.019,0.34837500000000005,0,0,0,0
0.019,0.34925,0,0,0,0
0.019,0.35012500000000002,0,0,0,0
0.019,0.35100000000000003,0,0,0,0
0.019,0.35187500000000005,0,0,0,0
0.019,0.35275000000000001,0,0,0,0
0.019,0.35362500000000002,0,0,0,0
0.019,0.35450000000000004,0,0,0,0
0.019,0.35537500000000005,0,0,0,0
0.019,0.35625000000000001,0,0,0,0
0.019,0.35712500000000003,0,0,0,0
0.019,0.35800000000000004,0,0,0,0
0.019,0.358875,0,0,0,0
0.019,0.35975000000000001,0,0,0,0
0.019,0.36062500000000003,0,0,0,0
0.019,0.36150000000000004,0,0,0,0
0.019,0.362375,0,0,0,0
0.019,0.36325000000000002,0,0,0,0
0.019,0.36412500000000003,0,0,0,0
0.019,0.36500000000000005,0,0,0,0
0.019,0.36587500000000001,0,0,0,0
0.019,0.36675000000000002,0,0,0,0
0.019,0.36762500000000004,0,0,0,0
0.019,0.36850000000000005,0,0,0,0
0.019,0.36937500000000001,0,0,0,0
0.019,0.37025000000000002,0,0,0,0
0.019,0.37112500000000004,0,0,0,0
0.019,0.37200000000000005,0,0,0,0
0.019,0.37287500000000001,0,0,0,0
0.019,0.37375000000000003,0,0,0,0
0.019,0.37462500000000004,0,0,0,0
0.019,0.37550000000000006,0,0,0,0
0.019,0.37637500000000002,0,0,0,0
0.019,0.37725000000000003,0,0,0,0
0.019,0.37812500000000004,0,0,0,0
0.019,0.379,0,0,0,0
0.019,0.37987500000000002,0,0,0,0
0.019,0.38074999999999998,0,0,0,0
0.019,0.38162500000000005,0,0,0,0
0.019,0.38250000000000001,0,0,0,0
0.019,0.38337500000000002,0,0,0,0
0.019,0.38424999999999998,0,0,0,0
0.019,0.38512500000000005,0,0,0,0
0.019,0.38600000000000001,0,0,0,0
0.019,0.38687500000000002,0,0,0,0
0.019,0.38774999999999998,0,0,0,0
0.019,0.38862500000000005,0,0,0,0
0.019,0.38950000000000001,0,0,0,0
0.019,0.39037500000000003,0,0,0,0
0.019,0.39124999999999999,0,0,0,0
0.019,0.39212500000000006,0,0,0,0
0.019,0.39300000000000002,0,0,0,0
0.019,0.39387500000000003,0,0,0,0
0.019,0.39474999999999999,0,0,0,0
0.019,0.39562500000000006,0,0,0,0
0.019,0.39650000000000002,0,0,0,0
0.019,0.39737500000000003,0,0,0,0
0.019,0.39824999999999999,0,0,0,0
0.019,0.39912500000000006,0,0,0,0
0.019,0.40000000000000002,0,0,0,0
0.019049999999999997,0.050000000000000003,0,0,0,0
0.019049999999999997,0.050875000000000004,0,0,0,0
0.019049999999999997,0.051750000000000004,0,0,0,0
0.019049999999999997,0.052625000000000005,0,0,0,0
0.019049999999999997,0.053500000000000006,0,0,0,0
0.019049999999999997,0.054375000000000007,0,0,0,0
0.019049999999999997,0.05525,0,0,0,0
0.019049999999999997,0.056125000000000001,0,0,0,0
0.019049999999999997,0.057000000000000002,0,0,0,0
0.019049999999999997,0.057875000000000003,0,0,0,0
0.019049999999999997,0.058750000000000004,0,0,0,0
0.019049999999999997,0.059625000000000004,0,0,0,0
0.019049999999999997,0.060500000000000005,0,0,0,0
0.019049999999999997,0.061375000000000006,0,0,0,0
0.019049999999999997,0.062250000000000007,0,0,0,0
0.019049999999999997,0.063125000000000001,0,0,0,0
0.019049999999999997,0.064000000000000001,0,0,0,0
0.019049999999999997,0.064875000000000002,0,0,0,0
0.019049999999999997,0.065750000000000003,0,0,0,0
0.019049999999999997,0.066625000000000004,0,0,0,0
0.019049999999999997,0.067500000000000004,0,0,0,0
0.019049999999999997,0.068375000000000005,0,0,0,0
0.019049999999999997,0.069250000000000006,0,0,0,0
0.019049999999999997,0.070125000000000007,0,0,0,0
0.019049999999999997,0.071000000000000008,0,0,0,0
0.019049999999999997,0.071875000000000008,0,0,0,0
0.019049999999999997,0.072750000000000009,0,0,0,0
0.019049999999999997,0.07362500000000001,0,0,0,0
0.019049999999999997,0.074500000000000011,0,0,0,0
0.019049999999999997,0.075374999999999998,0,0,0,0
0.019049999999999997,0.076250000000000012,0,0,0,0
0.019049999999999997,0.077124999999999999,0,0,0,0
0.019049999999999997,0.078000000000000014,0,0,0,0
0.019049999999999997,0.078875000000000001,0,0,0,0
0.019049999999999997,0.079750000000000015,0,0,0,0
0.019049999999999997,0.080625000000000002,0,0,0,0
0.019049999999999997,0.081500000000000003,0.0060802537207972351,0,0.0036990887063711453,0
0.019049999999999997,0.082375000000000004,0.014246044676447633,0.0045548682421417963,0.0095239461966722394,0.0035477348729990865
0.019049999999999997,0.083250000000000005,0.022475882016879445,0.013410675141980244,0.015293081653924456,0.0098565462970612305
0.019049999999999997,0.084125000000000005,0.030781075491339127,0.022447652430575116,0.021025069000802643,0.016202026548582382
0.019049999999999997,0.085000000000000006,0.039172466374378045,0.031683369691852925,0.026738580035706394,0.022607434054819353
0.019049999999999997,0.085875000000000007,0.047660200410247433,0.04113494675052809,0.032452113702216512,0.029096178134624451
0.019049999999999997,0.086750000000000008,0.056253512531212801,0.05081883367455825,0.03818373672870834,0.035691567596866869
0.019049999999999997,0.087625000000000008,0.064960524532405195,0.060750602258001885,0.043950836932057979,0.042416569448657515
0.019049999999999997,0.088500000000000009,0.073788056729383045,0.070944750018499259,0.049769890262211292,0.049293578794744497
0.019049999999999997,0.08937500000000001,0.082741454530542158,0.081414517654067375,0.055656242529517619,0.056344200889445362
0.019049999999999997,0.090250000000000011,0.09182443081096725,0.092171720861210837,0.061623906687285068,0.063589046243959169
0.019049999999999997,0.091125000000000012,0.10103892496111022,0.10322659740511703,0.067685376519915463,0.071047539677797533
0.019049999999999997,0.091999999999999998,0.11038497948920001,0.11458767033892719,0.073851457594710235,0.078737744216508698
0.019049999999999997,0.092875000000000013,0.11986063506490086,0.12626162827804671,0.080131116355818599,0.086676200762933808
0.019049999999999997,0.09375,0.12946184489319346,0.1382532236367453,0.086531348258199525,0.094877784492559458
0.019049999999999997,0.094625000000000015,0.13918240928923348,0.15056518971617117,0.09305706584355522,0.10335557893186109
0.019049999999999997,0.095500000000000002,0.1490139312803852,0.16319817748865795,0.099711007640841731,0.11212076866377452
0.019049999999999997,0.096375000000000016,0.15894579398273712,0.17615071284573103,0.10649366872105481,0.12118255155748658
0.019049999999999997,0.097250000000000003,0.16896516038261811,0.18941917496303518,0.11340325364559461,0.13054807133656399
0.019049999999999997,0.098125000000000018,0.17905699599594721,0.20299779628217118,0.12043565241543325,0.14022237117650438
0.019049999999999997,0.099000000000000005,0.18920411467937359,0.21687868441733832,0.12758443985389006,0.15020836885970057
0.019049999999999997,0.099875000000000005,0.19938724762848686,0.23105186606539507,0.13484089864014037,0.16050685381362328
0.019049999999999997,0.10075000000000001,0.20958513532295847,0.24550535273500534,0.14219406595658396,0.1711165061201011
0.019049999999999997,0.10162500000000001,0.21977464187216933,0.26022522781977375,0.14963080342641832,0.18203393731509576
0.019049999999999997,0.10250000000000001,0.22993089088341517,0.27519575422787707,0.1571358897042554,0.19325375250556598
0.019049999999999997,0.10337500000000001,0.24002742162784002,0.29039950145542626,0.16469213475154548,0.20476863302117343
0.019049999999999997,0.10425000000000001,0.25003636392565176,0.30581749066185449,0.17228051448860393,0.21656943850231891
0.019049999999999997,0.10512500000000001,0.25992862982356602,0.32142935598334765,0.17988032417782024,0.22864532701262097
0.019049999999999997,0.10600000000000001,0.26967411980505751,0.33721352001508065,0.18746934856810937,0.24098389146257254
0.019049999999999997,0.10687500000000001,0.27924194097031341,0.35314738111634608,0.19502404653158434,0.25357131035319552
0.019049999999999997,0.10775000000000001,0.2886006343600811,0.36920750995477569,0.20251974766028147,0.26639251060291202
0.019049999999999997,0.10862500000000001,0.2977184083867202,0.3853698525164983,0.2099308580743115,0.27943134001688252
0.019049999999999997,0.10950000000000001,0.30656337518763466,0.40160993667730954,0.21723107253266616,0.29267074680385574
0.019049999999999997,0.110375,0.31510378663947558,0.4179030793625424,0.22439358984193331,0.3060929634472237
0.019049999999999997,0.11125,0.32330826677153263,0.43422459132466817,0.23139132853150801,0.31967969219885228
0.019049999999999997,0.112125,0.3311460373979524,0.4505499766407059,0.23819713981034629,0.3334122894889151
0.019049999999999997,0.113,0.33858713395016249,0.46685512417498715,0.244784014939531,0.34727194663187355
0.019049999999999997,0.113875,0.34560260873002496,0.48311648846337729,0.25112528434441633,0.36123986435558009
0.019049999999999997,0.11475,0.35216471911433389,0.49931125774652901,0.25719480604412892,0.37529741888214996
0.019049999999999997,0.11562500000000001,0.35824709861150295,0.51541750720244373,0.2629671412860044,0.38942631753861789
