aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score
116,161,8.875,0.60000000000000009,0,-0.21745267378378119
117,161,8.9000000000000004,0.60000000000000009,0,-0.21774184164844079
118,161,8.9250000000000007,0.60000000000000009,0,-0.2168451493904433
119,161,8.9499999999999993,0.60000000000000009,0,-0.21494001482741065
120,161,8.9749999999999996,0.60000000000000009,0,-0.2121911056815724
121,161,9,0.60000000000000009,0,-0.20874764080969799
122,161,9.0250000000000004,0.60000000000000009,0,-0.204742694964264
123,161,9.0500000000000007,0.60000000000000009,0,-0.20029358260267438
124,161,9.0749999999999993,0.60000000000000009,0,-0.195502783041684
125,161,9.0999999999999996,0.60000000000000009,0,-0.19045910665122279
126,161,9.125,0.60000000000000009,0,-0.18523893778766121
127,161,9.1500000000000004,0.60000000000000009,0,-0.1799074662695086
128,161,9.1750000000000007,0.60000000000000009,0,-0.17451986164072497
129,161,9.1999999999999993,0.60000000000000009,0,-0.16912236824093596
130,161,9.2249999999999996,0.60000000000000009,0,-0.16375331247834402
131,161,9.25,0.60000000000000009,0,-0.15844402121368784
132,161,9.2750000000000004,0.60000000000000009,0,-0.15321965431350759
133,161,9.3000000000000007,0.60000000000000009,0,-0.14809995662204223
134,161,9.3249999999999993,0.60000000000000009,0,-0.14309993563291823
135,161,9.3499999999999996,0.60000000000000009,0,-0.13823047148077328
136,161,9.375,0.60000000000000009,0,-0.13349886579522929
137,161,9.4000000000000004,0.60000000000000009,0,-0.12890933563439644
138,161,9.4250000000000007,0.60000000000000009,0,-0.1244634582448455
139,161,9.4499999999999993,0.60000000000000009,0,-0.1201605718478671
140,161,9.4749999999999996,0.60000000000000009,0,-0.11599813706922601
141,161,9.5,0.60000000000000009,0,-0.11197206304206819
142,161,9.5250000000000004,0.60000000000000009,0,-0.10807700164010481
143,161,9.5500000000000007,0.60000000000000009,0,-0.10430661275598696
144,161,9.5749999999999993,0.60000000000000009,0,-0.10065380303930949
145,161,9.5999999999999996,0.60000000000000009,0,-0.097110940059597084
146,161,9.625,0.60000000000000009,0,-0.093670043468610298
147,161,9.6500000000000004,0.60000000000000009,0,-0.090322954408989964
148,161,9.6750000000000007,0.60000000000000009,0,-0.087061484156343627
149,161,9.6999999999999993,0.60000000000000009,0,-0.083877542790688708
150,161,9.7249999999999996,0.60000000000000009,0,-0.080763248569958535
151,161,9.75,0.60000000000000009,0,-0.077711018620441608
152,161,9.7750000000000004,0.60000000000000009,0,-0.074713641560319122
153,161,9.8000000000000007,0.60000000000000009,0,-0.071764332726028446
154,161,9.8249999999999993,0.60000000000000009,0,-0.068856772766572982
155,161,9.8499999999999996,0.60000000000000009,0,-0.065985130497280498
156,161,9.875,0.60000000000000009,0,-0.063144071049595074
157,161,9.9000000000000004,0.60000000000000009,0,-0.060328750504917372
158,161,9.9250000000000007,0.60000000000000009,0,-0.057534798346345117
159,161,9.9499999999999993,0.60000000000000009,0,-0.05475828919192216
160,161,9.9749999999999996,0.60000000000000009,0,-0.051995705377507861
161,161,10,0.60000000000000009,0,-0.049243892030167546
162,161,10.025,0.60000000000000009,0,-0.04650000630968032
163,161,10.050000000000001,0.60000000000000009,0,-0.043761462494484316
164,161,10.074999999999999,0.60000000000000009,0,-0.041025874549987962
165,161,10.100000000000001,0.60000000000000009,0,-0.03829099774377176
166,161,10.125,0.60000000000000009,0,-0.035554670768535579
167,161,10.15,0.60000000000000009,0,-0.032814759704562491
