problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,23,43,0.36637349625659626,0.47460251008332571,0.5703069861616612,0.53706904011451895,0.33894118758214514,0.47460251008332571
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,24,44,0.36637349625659626,0.47460251008332571,0.5703069861616612,0.57462579094487209,0.33894118758214514,0.47460251008332571
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,25,45,0.36637349625659626,0.47718131073303327,0.57757160875453595,0.57462663582820162,0.3432258273559986,0.47718131073303327
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,26,46,0.36660933118800698,0.47718131078846143,0.57757160875453595,0.5792330339849211,0.34344232683059894,0.47718131078846143
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,27,47,0.36685172405624406,0.47718131078846143,0.57757160875453595,0.58535410849754388,0.35052031551053625,0.47718131078846143
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,28,48,0.36685172405624406,0.47918264628881513,0.57757160875453595,0.58759512098180022,0.35072919998753821,0.47918264628881513
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,29,49,0.36710991656613623,0.47918264628881513,0.57757160875453595,0.58759518239470343,0.35780133680165066,0.47918264628881513
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,30,50,0.36734035637647783,0.47918264628881513,0.58099302859031288,0.58759518239470343,0.36489114837388048,0.47918264628881513
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,31,51,0.37032685529234216,0.47918264628881513,0.58099302859031288,0.5927071236477498,0.37213368583657302,0.47918264628881513
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,32,52,0.37044735174826743,0.48040975206590769,0.58099302859031288,0.59784013791656021,0.37213368583657302,0.48040975206590769
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,33,53,0.37056226563817041,0.48040975206590769,0.58099302859031288,0.59784013791656021,0.37213368583657302,0.48040975206590769
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,34,54,0.37056226563817041,0.48040975206590769,0.58099302859031288,0.59784013791656021,0.37222385013508374,0.48040975206590769
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,35,55,0.37056226563817041,0.48040975284370396,0.58099302859031288,0.60247157803728169,0.37222385013508374,0.48040975284370396
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,36,56,0.37056226563817041,0.48040975287373588,0.5838577590433085,0.60247157803728169,0.37222385013508374,0.48040975287373588
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,37,57,0.37068111298275286,0.48352650460301172,0.5838577590433085,0.60247157803728169,0.37222385013508374,0.48352650460301172
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,38,58,0.37068111298275286,0.48352650460301172,0.5838577590433085,0.60247157803728169,0.37222385013508374,0.48352650460301172
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,39,59,0.37068111298275286,0.48352650460301172,0.58525752745503801,0.60247157803728169,0.37222385013508374,0.48352650460301172
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,40,60,0.37081110360089142,0.4861048174978716,0.5878867073480023,0.60247157803728169,0.37222385013508374,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,41,61,0.37081110360089142,0.4861048174978716,0.5955322323715988,0.60559501887257539,0.37233532093730309,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,42,62,0.37098249590624344,0.4861048174978716,0.5955322323715988,0.60559501887257539,0.37245651955530046,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,43,63,0.37098249590624344,0.4861048174978716,0.59553329683428702,0.60559501887257539,0.37245651955530046,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,44,64,0.37098249590624344,0.4861048174978716,0.59553329683428702,0.60747961835848718,0.37245651955530046,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,45,65,0.37109680174176546,0.4861048174978716,0.59739389413509869,0.60747961835848718,0.37254029097939423,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,46,66,0.37118834423137226,0.4861048174978716,0.60162599773946535,0.60747961835848718,0.37261669346565807,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,47,67,0.37118834423137226,0.4861048174978716,0.60162599773946535,0.60747961835848718,0.37261669346565807,0.4861048174978716
