problem_id,total_evaluations,is_final,record_type,normalized_x1,normalized_x2,pof_score,exact_feasible,predicted_feasible_at_half,error_class,observed_feasible,objective_y1,objective_y2
COSSIN1,50,1,grid,0.00746268656716418,0.171641791044776,0.724161538463416,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.176616915422886,0.716785977103703,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.181592039800995,0.710049413304686,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.186567164179104,0.703942495268934,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.191542288557214,0.698456445318225,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.196517412935323,0.693583138139675,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.201492537313433,0.689315159383334,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.206467661691542,0.685645847178472,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.211442786069652,0.682569318748657,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.216417910447761,0.680080483955709,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.221393034825871,0.678175047287581,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.22636815920398,0.676849499523124,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.23134328358209,0.676101100055691,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.236318407960199,0.675927850635234,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.241293532338308,0.676328461093247,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.246268656716418,0.677302307444311,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.251243781094527,0.67884938261015,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.256218905472637,0.680970239884926,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.261194029850746,0.683665929152152,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.266169154228856,0.686937925771941,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.271144278606965,0.690788051980659,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.276119402985075,0.695218390581682,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.281094527363184,0.700231190654118,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.286069651741294,0.705828764964928,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.291044776119403,0.712013378737548,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.296019900497512,0.718787129406405,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.300995024875622,0.726151816971305,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.305970149253731,0.734108804558881,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.310945273631841,0.742658868801564,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.31592039800995,0.75180203965905,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.32089552238806,0.761537429336154,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.325870646766169,0.77186304999658,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.330845771144279,0.782775620037842,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.335820895522388,0.79427035878064,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.340796019900498,0.806340769537745,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.345771144278607,0.818978411160926,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.350746268656716,0.832172658315388,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.355721393034826,0.845910450887485,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.360696517412935,0.860176033077218,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.365671641791045,0.874950682834487,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.370646766169154,0.89021243233292,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.375621890547264,0.905935780088847,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.380597014925373,0.922091395068163,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.385572139303483,0.938645812608064,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.390547263681592,0.955561121129298,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.395522388059701,0.972794637329497,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.400497512437811,0.990298565713946,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.40547263681592,1,1,1,3,NaN,,
