record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,normalized_x1_ar,normalized_x2_taper_ratio,normalized_x3_primary_member_ratio,normalized_x4_secondary_member_ratio
evaluation,90,adaptive_phase,adaptive,9.056758259550174,0.2000029562250257,0.09691005489917849,0.1500103857966328,0.007111970797980999,33.3010887974328,true,feasible,true,0.509459709925029,4.927041709484881e-06,0.13402872828336712,2.967370466519118e-05
evaluation,91,adaptive_phase,adaptive,7.641514849784778,0.24966189261344424,0.20855297557217028,0.4999999969314275,0.008925587717489388,21.67628871198262,true,feasible,false,0.27358580829746293,0.08276982102240704,0.4530085016347723,0.9999999912326499
evaluation,92,adaptive_phase,adaptive,6.001059729496113,0.2439138537875125,0.25945543567704554,0.36202826503882746,0.011837366918734006,10.62751488112723,true,feasible,false,0.00017662158268549888,0.07318975631252084,0.5984441019344159,0.6057950429680785
evaluation,93,adaptive_phase,adaptive,7.840386240712551,0.20006451053732138,0.05794014865954038,0.1500346269804008,0.00803085237603759,22.296046720874884,true,feasible,true,0.30673104011875846,0.00010751756220228614,0.022686139027258214,9.893422971656613e-05
evaluation,94,adaptive_phase,adaptive,8.52443011731145,0.20415665279819203,0.05378270169496427,0.49491257878731554,0.007438947173717075,28.815755283549727,false,lattice stress,false,0.4207383528852417,0.006927754663653372,0.010807719128469333,0.9854645108209016
evaluation,95,adaptive_phase,adaptive,6.000556810229523,0.6030319266329679,0.39938980222113823,0.4403570667444201,0.01230477014637896,18.87690354596628,true,feasible,false,9.280170492050506e-05,0.6717198777216131,0.9982565777746808,0.8295916192697717
evaluation,96,adaptive_phase,adaptive,10.379207014449223,0.20001107910687427,0.10765451044536672,0.1537917447193234,0.006284890889037098,50.093422045081,true,feasible,true,0.7298678357415372,1.8465178123761028e-05,0.16472717270104778,0.010833556340923978
evaluation,97,adaptive_phase,adaptive,9.266530784369241,0.20004483406902918,0.08491852721735998,0.1502349601433153,0.006938009341695178,35.94946282130012,true,feasible,true,0.5444217973948735,7.472344838194145e-05,0.09976722062102852,0.000671314695186601
evaluation,98,adaptive_phase,adaptive,6.000010855343724,0.22575744713231502,0.39999999005444037,0.24297352742320516,0.012600652710428229,10.21412620367287,true,feasible,false,1.809223954059765e-06,0.04292907855385835,0.9999999715841155,0.2656386497805862
evaluation,99,adaptive_phase,adaptive,10.872100508239818,0.20006706595792395,0.10420093658526437,0.2527922991074786,0.006018267636853877,57.59844160185831,true,feasible,true,0.812016751373303,0.00011177659653989944,0.15485981881504107,0.2936922831642245
evaluation,100,adaptive_phase,adaptive,6.6607104661638,0.20001758757920526,0.07159346284481066,0.37523786907988205,0.009558142048657648,13.964762799716159,true,feasible,true,0.11011841102729998,2.9312632008754447e-05,0.06169560812803046,0.643536768799663
