"Case","Source","AR","lambda","r1","r2","HalfWingMass","WingMassTotal","CDitrim","Ctrim","Feasible","FailureReason","SimulationFailed","SkinStressMPa","LatticeStressMPa","StressLimitMPa","GoverningStressMPa","GoverningStressComponent","GoverningStressUtilization","StressMarginMPa","FlutterOK","PositiveDampingCount","MaxFlutterDamping","Pareto","CandidateSource","PredictedPoF","SampledHVI","SelectedAF","PrimaryAF","ChallengerAF","SeedBestAF","GABestAF","GAGain","FallbackUsed"
"50","adaptive","6.000016046700841","0.3636264271638667","0.2530598315428904","0.2814376944471977","32.82232375805875","65.6446475161175","0.011518309354253922","13.480985770102981","True","feasible","False","109.1682","47.4429","220.0","109.1682","skin","0.4962190909090909","110.8318","True","0","-6.3539298e-06","False","primary","1.0","0.03620700864664298","0.03630026208286343","0.03630026208286343","0.0046974666433089755","0.003545342300617315","0.03630026208286343","0.032754919782246116","False"
"51","adaptive","6.667025644015537","0.23268745841491387","0.3095197294659958","0.15000403909683946","36.772413445727565","73.54482689145513","0.010678168299601092","14.308986881204248","True","feasible","False","93.69807","51.17699","220.0","93.69807","skin","0.42590031818181817","126.30193","True","0","-2.5152834e-06","False","primary","1.0","0.10910191904661981","0.109403806291722","0.109403806291722","0.039900432127077945","0.07741990367626315","0.109403806291722","0.031983902615458845","False"
"52","adaptive","6.000031355549499","0.2000247409718874","0.05830551322868176","0.28895348099412543","18.555501252416548","37.111002504833095","0.010585451183080612","10.71819345470712","True","feasible","False","93.56315","128.2433","220.0","128.2433","lattice","0.5829240909090909","91.7567","True","0","-8.615868e-06","True","primary","0.7485427607623394","0.23630375130036252","0.177060905285948","0.177060905285948","0.0522594816156225","0.0731850180403126","0.17706090528594812","0.10387588724563551","False"
"53","adaptive","10.579905329405042","0.20000925596265368","0.13407417242828018","0.15000015457573584","21.897779434274057","43.79555886854811","0.006225369955525823","52.606014232006274","True","feasible","False","214.1218","116.7882","220.0","214.1218","skin","0.9732809090909091","5.8781999999999925","True","0","-1.0398328e-06","True","primary","0.9999673209352801","0.00987827051370365","0.009951613798547292","0.009951613798547292","0.006153704981781207","0.0049866269405128075","0.009951613798547292","0.004964986858034485","False"
"54","adaptive","9.526505310647748","0.2000103644213879","0.09484092850513123","0.15001570500820569","19.742964081284608","39.485928162569216","0.006781671409010044","38.85788975210871","True","feasible","False","182.0485","148.4988","220.0","182.0485","skin","0.8274931818181818","37.95150000000001","True","0","-4.0529843e-07","True","primary","0.9999923413517018","0.008254974044347411","0.008412941652527576","0.008412941652527576","0.0033889104359655217","0.0037739186807990177","0.008412941652527569","0.004639022971728551","False"
"55","adaptive","6.029516568846752","0.2000052798537157","0.19161882814474424","0.49210709646784934","31.93352675669066","63.86705351338132","0.01151362182328642","9.842261509221682","True","feasible","False","78.53776","46.82087","220.0","78.53776","skin","0.3569898181818182","141.46224","True","0","-3.4389829e-06","True","primary","1.0","0.01579841198776688","0.015860668072293863","0.015860668072293863","0.0016645597983340242","0.011336768365111771","0.015860668072293863","0.004523899707182092","False"
"56","adaptive","8.01423296221865","0.20016145251409023","0.05803755005186182","0.4999999964320062","18.39185010796494","36.78370021592988","0.007888266461714491","23.579519912754563","True","feasible","False","121.7469","186.5074","220.0","186.5074","lattice","0.8477609090909091","33.49260000000001","True","0","-4.3447514e-05","True","primary","1.0","0.007926305067660943","0.007966061245450826","0.007966061245450826","0.0009161724970489995","0.0038978145585252086","0.007966061245450792","0.0040682466869255834","False"
"57","adaptive","8.810154323572622","0.2000318164146102","0.063483676725973","0.49999999709198384","18.56585906965354","37.13171813930708","0.007242057619814661","31.12235861809581","True","feasible","False","134.6183","210.8435","220.0","210.8435","lattice","0.9583795454545455","9.156499999999994","True","0","-1.7163493e-06","True","primary","1.0","0.00844948513287468","0.008514975033815545","0.008514975033815545","0.0043419711036482445","0.003999810986655213","0.008514975033815545","0.004515164047160332","False"
"58","adaptive","6.000135503032287","0.294000222760719","0.3305847170243757","0.15003758572964435","38.0814829869966","76.1629659739932","0.01191812952959036","11.847839548502677","True","feasible","False","84.35559","43.92122","220.0","84.35559","skin","0.3834345","135.64441","True","0","-3.8617931e-06","False","primary","1.0","0.11259688155435701","0.11269949789867914","0.11269949789867914","0.07121600240706272","0.06804067462445117","0.11269949789867914","0.044658823274227974","False"
"59","adaptive","6.056571435238671","0.5422022286391893","0.39999999989388535","0.18722020712434426","37.87754814757371","75.75509629514742","0.01185686326061004","18.090843400839518","True","feasible","False","134.7182","56.82967","220.0","134.7182","skin","0.6123554545454545","85.2818","True","0","-1.1998181e-05","False","primary","0.9442336648735564","0.134953347452346","0.12752157013985937","0.12752157013985937","0.004465621491288323","0.10074414954547929","0.12752157013985935","0.026777420594380055","False"
