topology,case_id,design_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm,C_binary_feasible,C_signed_recorded,within_topology_observed_pareto,pooled_observed_pareto,evaluation_period,field_output_available,half_wing_skin_mass_kg,half_wing_lattice_mass_kg,flutter_confirmation,harmonized_rerun_pass,harmonized_maximum_damping
BCC,23,BCC23,0.017109209537506102,0.07209016159176827,36.43006787620392,51.11535396079857,0,1,0,0,inherited_001_051,1,16.17577607795001,2.039257860151948,outside_static_admissible_subset,,
BCC,24,BCC24,0.010504907548427582,0.17375646806352496,48.21438626717444,49.75628706071921,1,-1,0,0,inherited_001_051,1,16.17577607795001,7.9314170556372074,harmonized_18_point_rerun,1,-6.0140747e-07
BCC,25,BCC25,0.015860494136810302,0.1758143584430218,48.36025045176833,49.63766155622234,1,-1,1,0,inherited_001_051,1,16.17577607795001,8.004349147934153,harmonized_18_point_rerun,1,-3.6565278e-07
BCC,26,BCC26,0.01488310146331787,0.24540853202342988,57.22433662685109,49.1459285923188,1,-1,0,0,inherited_001_051,1,16.17577607795001,12.436392235475534,harmonized_18_point_rerun,1,-1.3396228e-06
BCC,27,BCC27,0.01941650390625,0.3163942438364029,65.52677012279361,48.51848101964555,0,1,0,0,inherited_001_051,1,16.17577607795001,16.587608983446795,outside_static_admissible_subset,,
BCC,28,BCC28,0.021875292539596556,0.3815928530693054,72.4799293692166,48.78166757234909,0,1,0,0,inherited_001_051,1,16.17577607795001,20.06418860665829,outside_static_admissible_subset,,
BCC,29,BCC29,0.011188974976539612,0.21691769301891328,53.69089756286559,49.43600812540079,0,1,0,0,inherited_001_051,1,16.17577607795001,10.669672703482782,outside_static_admissible_subset,,
BCC,30,BCC30,0.0180991393327713,0.07450755670666695,36.6124619119196,51.03168559710469,0,1,0,0,inherited_001_051,1,16.17577607795001,2.1304548780097896,outside_static_admissible_subset,,
BCC,31,BCC31,0.017042234063148497,0.05,34.46441049300364,52.03713309461572,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0564291685518075,outside_static_admissible_subset,,
BCC,32,BCC32,0.02023172491788864,0.05,34.47180258159712,52.146856162788964,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0601252128485488,outside_static_admissible_subset,,
