beam_element_id,grid_a,grid_b,original_length_m,final_length_m
859124,514223,514215,0.0023988483439508113,0.0016911906418930827
859145,514236,514209,0.006763201320265456,0.006763201320265456
859146,514237,514210,0.006763199314062725,0.006763199314062725
859190,514269,512768,0.005813024253506748,0.005813024253506748
859191,514269,512787,0.0055246207043992595,0.0055246207043992595
859192,514269,512788,0.005524616612564099,0.005524616612564099
859193,514269,512807,0.004950210036377906,0.004950210036377906
859194,514269,514236,0.006763201077894384,0.006763201077894384
859195,514269,514237,0.006763197735418802,0.006763197735418802
859230,514302,514269,0.006753684647878378,0.006753684647878378
859231,514303,514269,0.006753681300693004,0.006753681300693004
859260,514329,514318,0.0024923135497410794,0.001713158668410503
859293,514352,514302,0.006753726376519925,0.006753726376519925
859294,514353,514303,0.00675372436750265,0.00675372436750265
859295,514353,514329,0.002492313542558269,0.004005136069410106
859301,514359,514353,0.0025481450143347542,0.0040401510304303315
859309,514366,514359,0.002548144812146803,0.0017933986924696648
859319,514376,514352,0.006752025604325164,0.006752025604325164
859320,514377,514353,0.006752023594801835,0.006752023594801835
860993,515620,514073,0.005523021841798,0.005523021841798
860994,515621,514073,0.005523017748778291,0.005523017748778291
861027,515641,514073,0.005832066220741552,0.005832066220741552
861068,515677,514164,0.004971780134883494,0.004971780134883494
861100,515711,514164,0.00552378636387326,0.00552378636387326
861101,515712,514164,0.0055237822714200475,0.0055237822714200475
861120,515732,514164,0.005816547851796277,0.005816547851796277
861209,515781,514269,0.004959614931222524,0.004959614931222524
861233,515807,514269,0.005524620657288906,0.005524620657288906
861234,515808,514269,0.005524616565453711,0.005524616565453711
861251,515829,514269,0.0058007365022345984,0.0058007365022345984
862217,516585,516169,0.0017519951620201624,0.0017519951620201624
862250,516616,516180,0.0018770295159917314,0.0018770295159917314
862300,516655,516212,0.0020016953787769017,0.0020016953787769017
862852,517033,515620,0.005523045998777103,0.005523045998777103
862853,517034,515621,0.005523043542097588,0.005523043542097588
862854,517034,516585,0.0017520193770803913,0.0017520193770803913
862890,517069,515641,0.0058319600370986,0.0058319600370986
862891,517069,515677,0.004971780083306448,0.004971780083306448
862920,517095,515711,0.005523762133344467,0.005523762133344467
862921,517096,515712,0.005523759676983451,0.005523759676983451
862922,517096,516616,0.0018770296476595637,0.0018770296476595637
862993,517148,515732,0.00581650818701892,0.00581650818701892
862994,517148,515781,0.004959630377258897,0.004959630377258897
863038,517181,515807,0.005524611626612432,0.005524611626612432
863039,517182,515808,0.005524609170629119,0.005524609170629119
863040,517182,516655,0.0020016903767389694,0.0020016903767389694
863082,517219,515829,0.005800722806007819,0.005800722806007819
863387,517441,517034,0.0017530617062336664,0.0017530617062336664
863526,517533,517096,0.001878285389872541,0.001878285389872541
863664,517633,517182,0.0020030838844136076,0.0020030838844136076
863895,517799,517441,0.001753071811430707,0.001753071811430707
864027,517909,517533,0.0018782713621436,0.0018782713621436
864221,518048,517633,0.002003069892798043,0.002003069892798043
864558,518338,517033,0.005523018001314076,0.005523018001314076
864559,518339,517034,0.005523015544622107,0.005523015544622107
864580,518358,517069,0.00497378037482527,0.00497378037482527
864627,518384,517069,0.005824828504561547,0.005824828504561547
864648,518402,517095,0.00552376221794273,0.00552376221794273
864649,518403,517096,0.005523759761581751,0.005523759761581751
864686,518425,517148,0.004959501987599428,0.004959501987599428
864729,518468,517148,0.00581005439216478,0.00581005439216478
864765,518500,517181,0.005524611618218653,0.005524611618218653
864766,518501,517182,0.005524609162235337,0.005524609162235337
864801,518530,517219,0.00494538634706264,0.00494538634706264
866474,519766,518338,0.005523031983519817,0.005523031983519817
866475,519766,518339,0.005523027890507624,0.005523027890507624
866476,519766,518358,0.004973781283343477,0.004973781283343477
866497,519784,519766,0.0067773546999016,0.0067773546999016
866498,519785,519766,0.006777351364406346,0.006777351364406346
866508,519795,519791,0.002203411106695785,0.0015202078459724247
866542,519805,519784,0.006777271599333431,0.006777271599333431
866543,519806,519785,0.006777269597295773,0.006777269597295773
866544,519806,519795,0.0022034933519666385,0.0035336874531200413
866550,519812,519806,0.0022519334548970903,0.0035641243176551094
866551,519813,519812,0.0022519343185418584,0.0015897437340713898
866566,519828,519805,0.006771293018043805,0.006771293018043805
866567,519829,519806,0.006771291014238487,0.006771291014238487
866605,519853,518384,0.0058248285045618695,0.0058248285045618695
866606,519853,518402,0.0055237581768052555,0.0055237581768052555
866607,519853,518403,0.005523754084331161,0.005523754084331161
866608,519853,518425,0.004959568553511291,0.004959568553511291
