Case,NormalizedSemispan,LiftPerUnitSpan_N_m
4,0.975,548.834462477347
4,0.9775,525.896073046601
4,0.98,501.061808219244
4,0.9825,473.919949669203
4,0.985,443.910300487728
4,0.9875,410.236526047449
4,0.99,371.6956118777
4,0.9925,326.299911518329
4,0.995,270.254802110029
4,0.9975,193.988560207044
4,1,0
37,0,2237.08065909325
37,0.0025,2237.05855044526
37,0.005,2236.9922307654
37,0.0075,2236.8817188403
37,0.01,2236.72704596175
37,0.0125,2236.52825589794
37,0.015,2236.28540485315
37,0.0175,2235.99856141604
37,0.02,2235.66780649659
37,0.0225,2235.29323325167
37,0.025,2234.87494699943
37,0.0275,2234.41306512263
37,0.03,2233.90771696082
37,0.0325,2233.35904369173
37,0.035,2232.7671982019
37,0.0375,2232.13234494664
37,0.04,2231.45465979961
37,0.0425,2230.734329892
37,0.045,2229.97155344176
37,0.0475,2229.16653957279
37,0.05,2228.31950812447
37,0.0525,2227.43068945174
37,0.055,2226.5003242158
37,0.0575,2225.5286631659
37,0.06,2224.51596691227
37,0.0625,2223.46250569055
37,0.065,2222.36855911792
37,0.0675,2221.23441594129
37,0.07,2220.06037377777
37,0.0725,2218.84673884767
37,0.075,2217.59382570051
37,0.0775,2216.30195693405
37,0.08,2214.97146290705
37,0.0825,2213.60268144565
37,0.085,2212.1959575441
37,0.0875,2210.75164305985
37,0.09,2209.27009640364
37,0.0925,2207.75168222462
37,0.095,2206.19677109115
37,0.0975,2204.60573916752
37,0.1,2202.97896788682
37,0.1025,2201.31684362059
37,0.105,2199.61975734545
37,0.1075,2197.8881043071
37,0.11,2196.12228368211
37,0.1125,2194.32269823787
37,0.115,2192.48975399108
37,0.1175,2190.62385986514
37,0.12,2188.72542734689
37,0.1225,2186.79487014299
37,0.125,2184.83260383643
37,0.1275,2182.83904554347
37,0.13,2180.81461357144
37,0.1325,2178.75972707779
37,0.135,2176.67480573076
37,0.1375,2174.560269372
37,0.14,2172.41653768162
37,0.1425,2170.24402984598
37,0.145,2168.04316422855
37,0.1475,2165.81435804435
37,0.15,2163.55802703813
37,0.1525,2161.27458516687
37,0.155,2158.96444428671
37,0.1575,2156.62801384494
37,0.16,2154.2657005771
37,0.1625,2151.87790820975
37,0.165,2149.46503716908
37,0.1675,2147.02748429581
37,0.17,2144.56564256657
37,0.1725,2142.07990082221
37,0.175,2139.57064350309
37,0.1775,2137.03825039198
37,0.18,2134.4830963645
37,0.1825,2131.90555114762
37,0.185,2129.30597908632
37,0.1875,2126.68473891877
37,0.19,2124.04218356018
37,0.1925,2121.37865989553
37,0.195,2118.69450858152
37,0.1975,2115.99006385783
37,0.2,2113.26565336783
37,0.2025,2110.52159798911
37,0.205,2107.75821167377
37,0.2075,2104.9758012988
37,0.21,2102.17466652655
37,0.2125,2099.35509967552
37,0.215,2096.51738560152
37,0.2175,2093.66180158929
37,0.22,2090.78861725475
37,0.2225,2087.89809445781
37,0.225,2084.99048722593
