Campaign,FromCase,ToCase,Quantity,FromValue,ToValue,Change,Ratio,Change_pct
Coupled,4,99,MaxAbsTrimVerticalDisplacement_m,0.00579897439093787,0.0369933441663067,0.03119436977536883,6.379290831861004,537.9290831861005
Coupled,37,64,Semispan_m,1.9703904710431037,2.08491882424243,0.1145283531993262,1.058124699079922,5.8124699079922015
Coupled,37,64,RootChord_m,0.9821834675636123,0.9282696095826273,-0.053913857980985025,0.9451081597670109,-5.489184023298909
Coupled,37,64,NominalRootDiameter_mm,1.1370646757515719,1.3793668495516382,0.24230217380006636,1.2130944518524511,21.309445185245114
Coupled,37,64,NominalTipDiameter_mm,0.17056139657838107,0.20693953960955438,0.036378143031173316,1.2132847394601147,21.32847394601147
Coupled,37,64,WingMassTotal_kg,35.62301011663232,36.435541864251284,0.8125317476189622,1.0228091827433639,2.2809182743363854
Coupled,37,64,SkinMassTwoWing_kg,32.7268257211984,32.6245221826474,-0.1023035385510056,0.9968740158479611,-0.31259841520389076
Coupled,37,64,LatticeMassTwoWing_kg,2.89618439543396,3.81101968160384,0.9148352861698799,1.315876049747448,31.5876049747448
Coupled,37,64,CDitrim,0.009408487020013451,0.008382788694924672,-0.001025698325088779,0.8909815868473917,-10.90184131526083
Coupled,37,64,Ctrim_Nm,14.658171321975804,19.582807292172536,4.924635970196732,1.3359652348184543,33.59652348184543
Coupled,37,64,ScreenUtilization,0.8812640909090909,0.783065,-0.09819909090909085,0.888570189206517,-11.142981079348303
Coupled,37,64,HalfWingLLTLift_N,3116.4913753365013,3120.471833085998,3.9804577494965088,1.0012772240542673,0.1277224054267334
Coupled,37,64,RootLLTAeroMoment_Nm,2491.54340174005,2634.1646629284733,142.62126118842343,1.0572421339675717,5.724213396757172
Coupled,37,64,LiftCentroid_m,0.7994706551918588,0.8441558853371895,0.04468523014533077,1.0558935213633416,5.589352136334158
Coupled,37,64,LiftCentroidOverSemispan,0.4057422459867193,0.4048866917607306,-0.0008555542259887083,0.9978913849014955,-0.21086150985044627
Coupled,37,64,MaxAbsTrimVerticalDisplacement_m,0.0089555437516888,0.0124121947229321,0.0034566509712432997,1.3859789050320321,38.59789050320322
Coupled,64,99,Semispan_m,2.08491882424243,2.512469758327456,0.42755093408502587,1.2050683840126868,20.50683840126868
Coupled,64,99,RootChord_m,0.9282696095826273,0.7702680043632211,-0.1580016052194062,0.8297891005066431,-17.02108994933569
Coupled,64,99,NominalRootDiameter_mm,1.3793668495516382,2.3688819845006255,0.9895151349489872,1.7173690851499208,71.73690851499208
Coupled,64,99,NominalTipDiameter_mm,0.20693953960955438,0.5988351231761996,0.3918955835666452,2.8937685099041914,189.37685099041914
Coupled,64,99,WingMassTotal_kg,36.435541864251284,40.54501051830333,4.109468654052044,1.112787362113696,11.278736211369612
Coupled,64,99,SkinMassTwoWing_kg,32.6245221826474,32.3602293728362,-0.2642928098111952,0.9918989523177824,-0.8101047682217644
Coupled,64,99,LatticeMassTwoWing_kg,3.81101968160384,8.18478114546704,4.3737614638632,2.1476617360376724,114.76617360376724
Coupled,64,99,CDitrim,0.008382788694924672,0.006018267636853877,-0.002364521058070795,0.7179314492917631,-28.20685507082369
Coupled,64,99,Ctrim_Nm,19.582807292172536,57.59844160185831,38.01563430968578,2.941276025571729,194.1276025571729
Coupled,64,99,ScreenUtilization,0.783065,0.9564740909090909,0.17340909090909085,1.2214491656619704,22.144916566197036
Coupled,64,99,HalfWingLLTLift_N,3120.471833085998,3140.606858951187,20.135025865189164,1.0064525581201214,0.6452558120121354
Coupled,64,99,RootLLTAeroMoment_Nm,2634.1646629284733,3176.1244884400858,541.9598255116125,1.205742576817161,20.5742576817161
Coupled,64,99,LiftCentroid_m,0.8441558853371895,1.0113091612812564,0.16715327594406681,1.1980123326123577,19.801233261235772
Coupled,64,99,LiftCentroidOverSemispan,0.4048866917607306,0.40251595384554284,-0.0023707379151877706,0.9941446879746081,-0.5855312025391912
Coupled,64,99,MaxAbsTrimVerticalDisplacement_m,0.0124121947229321,0.0369933441663067,0.024581149443374604,2.980403143205593,198.0403143205593
Coupled,37,99,Semispan_m,1.9703904710431037,2.512469758327456,0.5420792872843521,1.275112621204152,27.511262120415193
Coupled,37,99,RootChord_m,0.9821834675636123,0.7702680043632211,-0.21191546320039123,0.7842404497745568,-21.575955022544324
Coupled,37,99,NominalRootDiameter_mm,1.1370646757515719,2.3688819845006255,1.2318173087490536,2.0833309089782888,108.33309089782888
Coupled,37,99,NominalTipDiameter_mm,0.17056139657838107,0.5988351231761996,0.4282737265978185,3.5109651725969915,251.09651725969914
Coupled,37,99,WingMassTotal_kg,35.62301011663232,40.54501051830333,4.922000401671006,1.138169132410653,13.81691324106531
Coupled,37,99,SkinMassTwoWing_kg,32.7268257211984,32.3602293728362,-0.3665963483622008,0.988798291912413,-1.1201708087587026
Coupled,37,99,LatticeMassTwoWing_kg,2.89618439543396,8.18478114546704,5.28859675003308,2.8260566414109984,182.60566414109985
Coupled,37,99,CDitrim,0.009408487020013451,0.006018267636853877,-0.0033902193831595743,0.6396637019376228,-36.03362980623772
Coupled,37,99,Ctrim_Nm,14.658171321975804,57.59844160185831,42.94027027988251,3.929442516168825,292.94425161688247
Coupled,37,99,ScreenUtilization,0.8812640909090909,0.9564740909090909,0.07521,1.0853433162383992,8.534331623839918
Coupled,37,99,HalfWingLLTLift_N,3116.4913753365013,3140.606858951187,24.115483614685672,1.0077380235368314,0.7738023536831395
Coupled,37,99,RootLLTAeroMoment_Nm,2491.54340174005,3176.1244884400858,684.5810867000359,1.2747618549297342,27.476185492973414
Coupled,37,99,LiftCentroid_m,0.7994706551918588,1.0113091612812564,0.21183850608939758,1.264973460518773,26.4973460518773
Coupled,37,99,LiftCentroidOverSemispan,0.4057422459867193,0.40251595384554284,-0.003226292141176479,0.9920484194754468,-0.7951580524553248
Coupled,37,99,MaxAbsTrimVerticalDisplacement_m,0.0089555437516888,0.0369933441663067,0.028037800414617904,4.130775884974114,313.07758849741145
