input_variable,input_physical,normalized_hvi_threshold,conditional_exceedance_probability,display_log10_exceedance_probability
secondary_member_ratio,0.15291666666666667,1.430722989193756e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.584893192461114e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.7556762912750014e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.9448624389373614e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.1544346900318822e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.3865897868585835e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.643761185749101e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.928644564625237e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.24422607917163e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.593813663804626e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.981071705534969e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,4.410059454176732e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,4.885273571519392e-07,0.0029296875,-2.5331787019201495
