case_id,normalized_semispan,lift_per_unit_span_N_per_m,outboard_bending_moment_Nm
65,0.55,1249.81028619243,436.254698184691
65,0.5525,1246.00124219155,430.384217020907
65,0.555,1242.18660211795,424.561808977051
65,0.5575,1238.36639452218,418.787326876986
65,0.56,1234.54064215336,413.060623329769
65,0.5625,1230.70936185412,407.381550730529
65,0.565,1226.87256447119,401.749961261116
65,0.5675,1223.03025478254,396.165706890523
65,0.57,1219.18243144128,390.628639375064
65,0.5725,1215.32908693704,385.13861025833
65,0.575,1211.47020757506,379.695470870891
65,0.5775,1207.60577347351,374.299072329773
65,0.58,1203.73575857931,368.94926553769
65,0.5825,1199.86013070284,363.645901182039
65,0.585,1195.97885157164,358.388829733655
65,0.5875,1192.09187690347,353.177901445338
65,0.59,1188.19915649873,348.012966350144
65,0.5925,1184.3006343524,342.893874259447
65,0.595,1180.39624878546,337.820474760777
65,0.5975,1176.48593259588,332.792617215445
65,0.6,1172.5696132289,327.810150755945
65,0.6025,1168.64721296661,322.872924283157
65,0.605,1164.71864913648,317.98078646335
65,0.6075,1160.78383433857,313.133585724989
65,0.61,1156.84267669108,308.331170255364
65,0.6125,1152.89508009373,303.573387997049
65,0.615,1148.94094450854,298.860086644188
65,0.6175,1144.98016625731,294.191113638639
65,0.62,1141.01263833522,289.566316165973
65,0.6225,1137.03825073968,284.985541151347
65,0.625,1133.05689081384,280.448635255258
65,0.6275,1129.06844360348,275.955444869196
65,0.63,1125.07279222667,271.505816111211
65,0.6325,1121.06981825489,267.099594821403
65,0.635,1117.05940210453,262.73662655735
65,0.6375,1113.04142343755,258.416756589499
65,0.64,1109.01576157,254.13982989652
65,0.6425,1104.98229588695,249.905691160649
65,0.645,1100.94090626243,245.714184763037
65,0.6475,1096.89147348283,241.565154779114
65,0.65,1092.83387967203,237.458444973989
65,0.6525,1088.76800871673,233.393898797903
65,0.655,1084.69374669011,229.371359381751
65,0.6575,1080.61098227194,225.39066953268
65,0.66,1076.51960716339,221.451671729803
65,0.6625,1072.4195164944,217.554208120012
65,0.665,1068.31060922164,213.69812051394
65,0.6675,1064.19278851508,209.883250382054
65,0.67,1060.06596213084,206.109438850928
65,0.6725,1055.93004276823,202.376526699676
65,0.675,1051.78494840881,198.684354356591
65,0.6775,1047.63060263509,195.032761895973
65,0.68,1043.46693492658,191.421589035188
65,0.6825,1039.29388093097,187.850675131942
65,0.685,1035.11138270797,184.319859181802
65,0.6875,1030.9193889435,180.828979815955
65,0.69,1026.71785513191,177.377875299236
65,0.6925,1022.50674372382,173.966383528404
65,0.695,1018.28602423719,170.594342030697
65,0.6975,1014.05567332947,167.261587962653
65,0.7,1009.81567482833,163.967958109215
65,0.7025,1005.56601971886,160.713288883099
65,0.705,1001.30670608498,157.497416324454
65,0.7075,997.037739002974,154.320176100782
65,0.71,992.759130385001,151.18140350714
65,0.7125,988.470898770706,148.080933466591
65,0.715,984.173069064992,145.018600530928
65,0.7175,979.865672220188,141.994238881631
65,0.72,975.548744861014,139.00768233106
65,0.7225,971.222328850778,136.05876432387
65,0.725,966.886470797505,133.147317938625
